"geneID","1","1M","2","2M","3","3M","4","4M","5","5M","6","6M","7","7M","8","8M","9","9M","10","10M"
"1","EBG00000011025",398.48,390.013,405.399,393.825,405.624,387.407,396.644,378.536,397.97,395.417,396.324,372.386,411.556,390.362,412.041,389.447,399.411,389.471,384.75,404.151
"2","EBG00000011033",376.012,395.284,389.985,378.851,404.138,412.607,402.004,397.353,403.348,414.579,401.68,384.039,417.118,409.279,403.689,381.099,404.808,408.345,403.876,416.555
"3","EBG00000011034",13592.5,409.649,12531,387.771,13593.6,1290.54,14025.1,380.117,13039,370.027,14265.8,429.114,13827.4,14104.9,12839.3,15265.6,13115.8,14812.8,13851.7,441.237
"4","EBG00000011035",409.398,386.882,395.327,356.609,381.42,364.29,365.355,361.128,366.576,378.233,379.101,349.028,366.454,373.397,380.997,386.32,382.053,358.747,381.173,394.11
"5","EBG00000011037",13592.5,409.649,12531,387.771,13593.6,1290.54,14025.1,380.117,13039,370.027,14265.8,429.114,13827.4,14104.9,12839.3,15265.6,13115.8,14812.8,13851.7,441.237
"6","EBG00000011048",536.435,480.475,441.608,488.407,508.738,510.465,433.657,498.284,515.924,422.538,464.973,418.797,428.86,579.281,443.369,419.281,527.113,428.692,474.01,614.245
"7","EBG00000011049",391.61,403.462,398.527,407.175,398.749,400.539,396.644,365.017,391.109,395.417,403.157,398.518,397.838,444.204,398.306,443.164,392.524,449.906,405.362,438.401
"8","EBG00000011051",412.221,390.013,398.527,387.15,398.749,393.973,382.967,392.055,397.97,381.781,409.99,378.919,411.556,390.362,384.572,389.447,385.638,362.61,412.232,397.301
"9","EBG00000011060",459.844,482.09,444.136,480.177,456.76,439.695,425.033,455.259,431.768,460.943,447.476,437.868,411.841,488.191,450.021,513.616,427.63,505.607,451.642,493.972
"10","EBG00000011061",403.865,395.284,389.985,392.382,404.138,385.987,388.142,383.651,403.348,400.76,401.68,397.282,431.022,381.994,403.689,394.71,404.808,394.734,417.803,402.67
"11","EBG00000011070",391.61,403.462,398.527,407.175,398.749,400.539,396.644,365.017,391.109,395.417,403.157,398.518,397.838,444.204,398.306,443.164,392.524,449.906,405.362,438.401
"12","EBG00000011073",412.221,403.462,406.207,400.5,406.433,393.973,398.253,417.503,405.639,409.052,403.961,432.337,405.504,421.638,399.922,420.65,413.184,438.451,406.17,447.265
"13","EBG00000011074",417.792,408.914,403.913,405.912,390.202,452.536,402.004,465.862,417.257,456.037,401.68,423.768,403.214,368.351,403.689,313.046,390.849,367.511,403.876,416.555
"14","EBG00000011077",412.221,403.462,406.207,400.5,406.433,393.973,398.253,417.503,405.639,409.052,403.961,432.337,405.504,421.638,399.922,420.65,413.184,438.451,406.17,447.265
"15","EBG00000011082",403.865,408.914,403.913,405.912,404.138,412.607,388.142,438.459,389.44,442.218,401.68,463.496,403.214,272.853,403.689,394.71,404.808,367.511,417.803,416.555
