"geneID","1-Rep1_S1","1-Rep2_S25","1-Rep3_S13","1M-Rep1_S13","1M-Rep2_S1","1M-Rep3_S25","2-Rep1_S2","2-Rep2_S26","2-Rep3_S14","2M-Rep1_S14","2M-Rep2_S2","2M-Rep3_S26","3-Rep1_S3","3-Rep2_S27","3-Rep3_S15","3M-Rep1_S15","3M-Rep2_S3","3M-Rep3_S27","4-Rep1_S4","4-Rep2_S28","4-Rep3_S16","4M-Rep1_S16","4M-Rep2_S4","4M-Rep3_S28","5-Rep1_S5","5-Rep2_S29","5-Rep3_S17","5M-Rep1_S17","5M-Rep2_S5","5M-Rep3_S29","6-Rep1_S6","6-Rep2_S30","6-Rep3_S18","6M-Rep1_S18","6M-Rep2_S6","6M-Rep3_S30","7-Rep1_S7","7-Rep2_S31","7-Rep3_S19","7M-Rep1_S19","7M-Rep2_S7","7M-Rep3_S31","8-Rep1_S8","8-Rep2_S32","8-Rep3_S20","8M-Rep1_S20","8M-Rep2_S8","8M-Rep3_S32","9-Rep1_S9","9-Rep2_S33","9-Rep3_S21","9M-Rep1_S21","9M-Rep2_S9","9M-Rep3_S33","10-Rep1_S10","10-Rep2_S34","10-Rep3_S22","10M-Rep1_S22","10M-Rep2_S10","10M-Rep3_S34","11-Rep1_S11","11-Rep2_S35","11-Rep3_S23","11M-Rep1_S23","11M-Rep2_S11","11M-Rep3_S35","12-Rep1_S12","12-Rep2_S36","12-Rep3_S24","12M-Rep1_S24","12M-Rep2_S12","12M-Rep3_S36"
"1","EBG00000011018",818.758,722.415,1001.38,477.076,579.499,576.672,660.568,747.767,931.016,548.283,780.757,721.167,506.805,651.672,980.87,458.25,666.438,662.962,670.097,589.993,989.808,512.475,698.209,818.902,455.947,795.385,907.014,669.361,731.696,673.069,791.559,651.71,829.376,467.263,746.139,678.572,351.262,615.497,765.793,391.153,669.873,429.801,220.916,649.709,723.18,322.879,662.031,416.337,484.014,827.065,543.225,335.801,730.429,362.459,346.172,649.255,586.24,378.475,525.996,498.313,158.352,506.668,411.223,264.327,550.081,590.256,128.827,612.509,111.349,370.173,686.172,260.199
"2","EBG00000011019",2152.71,2324.33,2585.76,1761.33,2665.96,2638.3,2052.53,2790.25,2709.8,1628.97,2504.41,2167.56,2005.7,2463.7,2616.3,1801.67,2075.96,2469.94,2121.3,2031.5,2355.18,1852.3,2506.8,2455.93,1367.96,2444.2,2439.94,1882.1,2139.29,1922.89,1791.78,2284.95,2172.34,1602.55,1694.78,1877.48,1457.77,2426.63,2271.91,1575.95,1984.18,1285.72,1280.24,2239.54,1687.55,1294.4,1963.27,1695.12,1289.16,1761.66,2182.96,1399.35,1763.86,1246.94,960.6,1526.75,2182.78,1339.14,1954.74,1669.93,1073.46,1615.43,1605.57,1174.29,1952.22,1508.33,918.539,1671.42,782.792,703.718,1985.93,1159.11
"3","EBG00000011022",1087.27,755.001,1033.61,966.791,807.318,1111.85,1181.14,911.036,1064.36,1036.26,964.635,1192.22,979.749,1035.14,1098.17,996.222,820.951,989.806,1218,968.14,1311.27,951.841,1044.71,1286.65,850.348,1223.17,1153.64,875.952,1112.8,953.547,847.66,1095.04,1054.67,749.835,848.905,851.223,672.792,1235.78,1160.33,716.852,1020.37,518.838,530.618,1256.85,830.574,503.353,991.43,649.848,559.913,937.133,870.347,513.771,904.83,500.991,492.999,766.344,835.959,633.272,932.782,629.484,492.803,782.711,807.265,516.535,949.386,578.763,406.756,820.43,325.331,344.439,1004.77,375.508
"4","EBG00000011025",3542.03,4027.61,3775.55,2508.46,4477.59,2739.76,2246.91,4308.21,4188.85,2051.51,4394.69,2344.78,1627.35,4535.48,5262.12,1508.93,3773.81,3872.18,1851.79,3621.78,4734.43,1684.85,4771.7,4272.43,1175.5,4570.92,4363.68,2570.11,3993.32,3575,2035.45,3399.97,3528.07,2430.84,2763.51,3013.94,836.74,3767.77,3099.86,1970.3,3322.88,1828.59,741.526,3397.63,2251.63,1314.35,2691.4,1936.28,1305.99,2998.23,2155.75,1622.59,2399.72,1364.14,882.953,1904.13,2265.44,1454.73,2362.85,1877.41,565.643,2188.64,1490.48,984.105,2517.38,1831.99,475.828,1871.28,451.77,384.248,2520.45,1138.84
"5","EBG00000011026",2356.76,2242.75,2228.96,2843.39,2569.9,3105.65,2607.6,2856.92,2676.88,2711.22,2946.81,3370.89,2185.16,2664.1,2874.59,2556.09,2334.76,2857.79,2452.1,3152.95,3268.51,2779.54,2827.01,3309.59,2213.62,3242.4,3129.45,1854.71,2005.34,2259.62,1753.75,3292.65,3119.36,1697.66,2542.22,2360.28,1827.47,3529.97,3128.89,2058.75,3100.41,2293.52,2175.37,3488.55,1939.45,1880.41,3309.97,1838.14,1368.23,2549.63,2738.3,1793.38,2816.05,2280.59,1666.5,2033.37,2595.47,2548.62,3385.67,2546.41,1709.59,2180.75,2608.06,1974.35,3477.26,1567.27,1734.81,2347.48,2904.97,1217.13,3139.31,1804.41
"6","EBG00000011027",1087.27,755.001,1033.61,966.791,807.318,1111.85,1181.14,911.036,1064.36,1036.26,964.635,1192.22,979.749,1035.14,1098.17,996.222,820.951,989.806,1218,968.14,1311.27,951.841,1044.71,1286.65,850.348,1223.17,1153.64,875.952,1112.8,953.547,847.66,1095.04,1054.67,749.835,848.905,851.223,672.792,1235.78,1160.33,716.852,1020.37,518.838,530.618,1256.85,830.574,503.353,991.43,649.848,559.913,937.133,870.347,513.771,904.83,500.991,492.999,766.344,835.959,633.272,932.782,629.484,492.803,782.711,807.265,516.535,949.386,578.763,406.756,820.43,325.331,344.439,1004.77,375.508
"7","EBG00000011028",4842.05,737.228,9974.19,23417.6,770.641,16676.1,18575.4,1171.94,815.395,27820.7,920.891,16437,25097.9,989.223,566.476,35829.2,658.972,2933.21,16151.7,3137.25,610.268,35642.8,438.388,2780.58,29657.5,1864.17,876.181,1420.39,15849.9,274.825,6397.92,3184.28,2270.31,1133.18,5050.4,6678.63,25687.1,4054.31,544.925,4770.8,5699.14,20926.3,24262.5,1586.78,768.685,4030.23,12937.7,8004.55,16912.3,3144.39,11053.3,4271.41,11385.7,21117,27410.6,3341.91,3159.56,6157.34,12986,8233.52,31511.2,1459.25,14426.2,4062.29,6777.14,1805.24,20164.9,1999.23,37264.9,10802.9,11437.4,4986.61
"8","EBG00000011030",1087.27,755.001,1033.61,966.791,807.318,1111.85,1181.14,911.036,1064.36,1036.26,964.635,1192.22,979.749,1035.14,1098.17,996.222,820.951,989.806,1218,968.14,1311.27,951.841,1044.71,1286.65,850.348,1223.17,1153.64,875.952,1112.8,953.547,847.66,1095.04,1054.67,749.835,848.905,851.223,672.792,1235.78,1160.33,716.852,1020.37,518.838,530.618,1256.85,830.574,503.353,991.43,649.848,559.913,937.133,870.347,513.771,904.83,500.991,492.999,766.344,835.959,633.272,932.782,629.484,492.803,782.711,807.265,516.535,949.386,578.763,406.756,820.43,325.331,344.439,1004.77,375.508
"9","EBG00000011031",1824,1497.5,1868.04,1079.08,1597.52,1205.77,1149.84,1766.12,1895.79,849.896,1526.18,1069.71,991.849,1651.42,1923.95,843.822,1377.55,1392.36,1166.31,1404.63,2030.97,908.12,2096.15,1838.77,778.705,1649.87,1985.67,1687.7,1819.27,1724.43,1309.99,1315.72,1651.63,1235.64,1218.19,1368.06,638.312,1534.2,1731.15,1139.39,1363.53,741.472,500.521,1451.53,1305.03,749.823,1179.05,1342.86,865.624,1470.72,1131.33,874.721,1144.01,837.155,556.816,1046.68,1439.17,910.965,1313,1275.68,442.074,1231.82,824.227,743.986,1338.44,1283,476.647,1109.99,378.103,108.822,1620.33,665.436
"10","EBG00000011032",3546.66,2529.69,3352.64,2128.84,2861.36,2789.48,2934.07,2972.41,3717.65,2239.7,2852.34,2714.93,2427.15,2838.23,3628.55,2075.34,2207.66,3359.12,2759.89,2507.48,3657.61,1912.39,3193.7,3567.96,1778.24,2745.9,3441.92,2830.03,2738.01,2798.44,2649.87,2786.22,3046.97,2305.59,2107.25,2661.56,1626.59,2726.26,3370.42,2167.31,2099.29,1849.94,1501.56,2534.72,2411.03,1677.52,2499.27,2974.15,1805.44,2491.37,2492.03,2036.91,2123.31,1878.32,1438.13,2109.47,2825.49,2212.06,2457.81,2742.2,1235.27,2289.1,2058.7,1731.28,2680.05,2519.3,1214.79,1927.79,1276.1,399.016,2831.8,1684.01
