"geneID","2_S1","2M_S7","6_S2","6M_S8","8_S3","8M_S9","10_S4","10M_S10","12_S5","12M_S11","13_S6","13M_S12"
"1","EBG00000011019",36586.5,36084.3,36507,42166,45530.2,42266.4,48181.1,49740.6,54460.7,40423.7,48125.9,40730.5
"2","EBG00000011020",6.07031,2.84863,11.8692,13.0707,123.72,62.796,80.6825,20.5191,1103.3,23.5977,147.645,82.9224
"3","EBG00000011022",19183.3,19170.3,25680.5,21835.6,27112.6,20588.2,27116,21928.2,30582.6,19769.9,25090,23824.1
"4","EBG00000011024",9.06178,3.64005,8.80299,4.368,0,10.3719,3.38909,5.77122,0,2.15399,0,3.80437
"5","EBG00000011026",16082.5,14652.5,9673.03,9910.38,9375.62,12500.3,9028.42,13535,8280.34,17308.3,7529.71,10505.4
"6","EBG00000011027",19183.3,19170.3,25680.5,21835.6,27112.6,20588.2,27116,21928.2,30582.6,19769.9,25090,23824.1
"7","EBG00000011028",6.77476,1.5705,8.015,6.20532,75.0282,41.1022,25.584,4.83754,503.105,4.87959,15.133,29.8252
"8","EBG00000011029",9.06178,3.64005,8.80299,4.368,0,10.3719,3.38909,5.77122,0,2.15399,0,3.80437
"9","EBG00000011030",19183.3,19170.3,25680.5,21835.6,27112.6,20588.2,27116,21928.2,30582.6,19769.9,25090,23824.1
"10","EBG00000011031",7.25491,0,0,8.43574,0,5.17337,0,2.76421,12.6697,0,6.97781,0
"11","EBG00000011032",21.7647,43.9093,69.7447,101.229,115.154,56.907,86.0199,27.6421,95.0227,20.9297,48.8446,60.0967
"12","EBG00000011033",25.3922,40.2502,47.9495,168.715,17.716,23.2802,3.30846,20.7316,9.50227,25.1157,10.4667,26.2923
"13","EBG00000011040",3386.4,4957.31,4730.29,4877.38,4240.78,4084.94,3350.27,5528.17,3910.7,6726.41,4746.85,3256.16
"14","EBG00000011041",36586.5,36084.3,36507,42166,45530.2,42266.4,48181.1,49740.6,54460.7,40423.7,48125.9,40730.5
"15","EBG00000011044",28346.1,25433.3,16052.9,19615.9,14152.1,15145.9,14753.5,14074.5,14416,16602.9,23245.4,15477.4
"16","EBG00000011046",25.3922,40.2502,47.9495,168.715,17.716,23.2802,3.30846,20.7316,9.50227,25.1157,10.4667,26.2923
"17","EBG00000011047",16516.7,19639.4,16315.9,17331.2,14345.5,22153.7,13141.2,17350.3,11005.2,21532.5,8345.46,17796.1
"18","EBG00000011048",47.0968,5.39688,19.6159,18.6415,222.205,321.124,138.688,21.3616,1332.86,24.3007,143.674,166.735
"19","EBG00000011049",16082.5,14652.5,9673.03,9910.38,9375.62,12500.3,9028.42,13535,8280.34,17308.3,7529.71,10505.4
"20","EBG00000011050",16082.5,14652.5,9673.03,9910.38,9375.62,12500.3,9028.42,13535,8280.34,17308.3,7529.71,10505.4
